class,f,n,p,measured,ci95_low,ci95_high,predicted
cheap_downscale,0.2500,16,0.02,0.0843,0.0805,0.0883,0.0833
cheap_downscale,0.2500,16,0.10,0.1616,0.1566,0.1668,0.1500
cheap_downscale,0.2500,16,0.25,0.2992,0.2929,0.3056,0.2427
cheap_downscale,0.0625,16,0.02,0.0215,0.0195,0.0236,0.0208
cheap_downscale,0.0625,16,0.10,0.0411,0.0383,0.0439,0.0417
cheap_downscale,0.0625,16,0.25,0.0837,0.0798,0.0876,0.0833
wrong_bitrate,0.2500,16,0.02,0.2504,0.2444,0.2564,0.2500
wrong_bitrate,0.2500,16,0.10,0.4531,0.4461,0.4600,0.4500
wrong_bitrate,0.2500,16,0.25,0.7274,0.7211,0.7335,0.7280
wrong_bitrate,0.0625,16,0.02,0.0631,0.0598,0.0666,0.0625
wrong_bitrate,0.0625,16,0.10,0.1288,0.1242,0.1336,0.1250
wrong_bitrate,0.0625,16,0.25,0.2500,0.2441,0.2561,0.2500
frame_substitution,0.2500,16,0.02,0.2488,0.2429,0.2549,0.2500
frame_substitution,0.2500,16,0.10,0.4435,0.4366,0.4504,0.4500
frame_substitution,0.2500,16,0.25,0.7292,0.7230,0.7353,0.7280
frame_substitution,0.0625,16,0.02,0.0621,0.0588,0.0655,0.0625
frame_substitution,0.0625,16,0.10,0.1287,0.1241,0.1334,0.1250
frame_substitution,0.0625,16,0.25,0.2521,0.2461,0.2582,0.2500
garbage,0.2500,16,0.02,0.2532,0.2472,0.2593,0.2500
garbage,0.2500,16,0.10,0.4534,0.4465,0.4603,0.4500
garbage,0.2500,16,0.25,0.7244,0.7182,0.7306,0.7280
garbage,0.0625,16,0.02,0.0629,0.0595,0.0663,0.0625
garbage,0.0625,16,0.10,0.1252,0.1206,0.1299,0.1250
garbage,0.0625,16,0.25,0.2510,0.2450,0.2571,0.2500
byte_swap,0.2500,16,0.02,0.2487,0.2427,0.2547,0.2500
byte_swap,0.2500,16,0.10,0.4484,0.4414,0.4553,0.4500
byte_swap,0.2500,16,0.25,0.7252,0.7190,0.7314,0.7280
byte_swap,0.0625,16,0.02,0.0640,0.0606,0.0675,0.0625
byte_swap,0.0625,16,0.10,0.1252,0.1206,0.1298,0.1250
byte_swap,0.0625,16,0.25,0.2529,0.2468,0.2589,0.2500
