profile,segment,n,p50_us,p99_us,p999_us,min_us,max_us,mean_us
240x180@400k,gradient_000,2000,192.129,245.512,279.680,190.282,293.059,195.757
240x180@400k,gradient_001,2000,62.647,86.346,97.971,61.999,113.255,65.111
240x180@400k,detail_000,2000,401.340,520.607,561.866,397.074,682.636,411.385
240x180@400k,detail_001,2000,151.302,203.264,229.519,150.158,770.210,155.232
240x180@400k,motion_000,2000,1393.382,1758.625,1982.835,1376.508,2079.741,1431.929
240x180@400k,motion_001,2000,459.845,552.037,623.772,454.411,743.457,468.002
240x180@400k,ALL,12000,397.140,1586.818,1813.021,61.999,2079.741,454.569
160x120@200k,gradient_000,2000,146.304,180.595,206.044,144.869,268.567,149.116
160x120@200k,gradient_001,2000,50.395,65.231,73.202,49.747,87.689,51.998
160x120@200k,detail_000,2000,344.250,419.113,462.681,340.805,474.853,351.236
160x120@200k,detail_001,2000,136.578,158.013,177.412,135.455,179.849,138.321
160x120@200k,motion_000,2000,1342.692,1732.400,1878.707,1325.382,2025.727,1379.718
160x120@200k,motion_001,2000,442.042,518.717,567.664,436.961,612.040,449.361
160x120@200k,ALL,12000,340.805,1541.551,1801.923,49.747,2025.727,419.958
