t_ms,offered,admitted,shed,completed,ready_depth,in_flight,rss_kb
0,1,1,0,0,0,1,4036
51,21,21,0,2,11,8,4044
101,41,27,14,4,15,8,4044
151,62,30,32,6,16,8,4044
201,82,32,50,8,16,8,4044
251,102,34,68,10,16,8,4044
301,122,36,86,12,16,8,4044
352,143,38,105,14,16,8,4048
403,163,40,123,16,16,8,4048
453,184,42,142,18,16,8,4048
503,204,44,160,20,16,8,4048
553,224,46,178,22,16,8,4048
604,245,48,197,24,16,8,4048
654,265,50,215,26,16,8,4048
704,285,52,233,28,16,8,4048
754,305,54,251,30,16,8,4048
804,326,56,270,32,16,8,4048
854,346,58,288,34,16,8,4048
904,366,60,306,36,16,8,4048
954,386,62,324,38,16,8,4048
1005,407,64,343,40,16,8,4048
1055,427,66,361,42,16,8,4048
1105,447,68,379,44,16,8,4048
1155,467,70,397,46,16,8,4048
1205,488,72,416,48,16,8,4048
1255,508,74,434,50,16,8,4048
1305,528,76,452,52,16,8,4048
1356,548,78,470,54,16,8,4048
1406,569,80,489,56,16,8,4048
1456,589,82,507,58,16,8,4048
1507,609,84,525,60,16,8,4048
1557,630,86,544,62,16,8,4048
1608,650,88,562,64,16,8,4048
1659,671,90,581,67,15,8,4052
1710,691,92,599,69,15,8,4052
1760,712,95,617,71,16,8,4052
1810,732,97,635,73,16,8,4052
1860,752,99,653,75,16,8,4052
1910,773,101,672,77,16,8,4052
1960,793,103,690,79,16,8,4052
2010,813,105,708,81,16,8,4052
2060,833,107,726,83,16,8,4052
2110,853,109,744,85,16,8,4052
2161,874,111,763,87,16,8,4052
2212,894,113,781,89,16,8,4052
2262,915,115,800,91,16,8,4052
2312,935,117,818,93,16,8,4052
2362,955,119,836,95,16,8,4052
2412,975,121,854,97,16,8,4052
2462,995,123,872,99,16,8,4052
2512,1016,125,891,101,16,8,4052
2562,1036,127,909,103,16,8,4052
2612,1056,129,927,105,16,8,4052
2662,1076,131,945,107,16,8,4052
2712,1096,133,963,109,16,8,4052
2762,1117,135,982,111,16,8,4052
2812,1137,137,1000,113,16,8,4052
2862,1157,139,1018,115,16,8,4052
2912,1177,141,1036,117,16,8,4052
2962,1198,143,1055,119,16,8,4052
3012,1218,145,1073,121,16,8,4052
3062,1238,147,1091,123,16,8,4052
3112,1258,149,1109,125,16,8,4052
3162,1278,151,1127,127,16,8,4052
3212,1299,153,1146,129,16,8,4052
3262,1319,155,1164,131,16,8,4056
3313,1339,157,1182,133,16,8,4056
3364,1360,159,1201,135,16,8,4056
3414,1380,161,1219,137,16,8,4056
3465,1401,163,1238,139,16,8,4056
3515,1421,165,1256,142,15,8,4056
3566,1441,167,1274,144,15,8,4056
3616,1462,170,1292,146,16,8,4056
3666,1482,172,1310,148,16,8,4056
3716,1502,174,1328,150,16,8,4056
3766,1522,176,1346,152,16,8,4056
3816,1542,178,1364,154,16,8,4056
3866,1563,180,1383,156,16,8,4056
3916,1583,182,1401,158,16,8,4056
3966,1603,184,1419,160,16,8,4056
4017,1624,186,1438,162,16,8,4056
4067,1644,188,1456,164,16,8,4056
4118,1664,190,1474,166,16,8,4056
4168,1685,192,1493,168,16,8,4056
4218,1705,194,1511,170,16,8,4056
4268,1725,196,1529,172,16,8,4056
4318,1745,198,1547,174,16,8,4056
4368,1766,200,1566,176,16,8,4056
4419,1786,202,1584,178,16,8,4056
4470,1807,204,1603,180,16,8,4056
4520,1827,206,1621,182,16,8,4056
4570,1847,208,1639,184,16,8,4056
4620,1867,210,1657,186,16,8,4056
4670,1888,212,1676,188,16,8,4056
4720,1908,214,1694,190,16,8,4056
4770,1928,216,1712,192,16,8,4056
4820,1948,218,1730,194,16,8,4056
4870,1968,220,1748,196,16,8,4056
4920,1989,222,1767,198,16,8,4056
4970,2009,224,1785,200,16,8,4056
5020,2029,226,1803,202,16,8,4056
5070,2049,228,1821,204,16,8,4056
5120,2069,230,1839,206,16,8,4056
5170,2089,232,1857,208,16,8,4056
5221,2110,234,1876,210,16,8,4056
