tier,p,n,f,m,k,p_detect_hypergeometric
pristine,0.02,4,0.03125,1,1,0.250000
pristine,0.02,4,0.0625,1,1,0.250000
pristine,0.02,4,0.125,1,1,0.250000
pristine,0.02,4,0.1875,1,1,0.250000
pristine,0.02,4,0.25,1,1,0.250000
pristine,0.02,4,0.375,2,1,0.500000
pristine,0.02,4,0.5,2,1,0.500000
pristine,0.02,4,0.75,3,1,0.750000
pristine,0.02,4,1,4,1,1.000000
pristine,0.02,8,0.03125,1,1,0.125000
pristine,0.02,8,0.0625,1,1,0.125000
pristine,0.02,8,0.125,1,1,0.125000
pristine,0.02,8,0.1875,2,1,0.250000
pristine,0.02,8,0.25,2,1,0.250000
pristine,0.02,8,0.375,3,1,0.375000
pristine,0.02,8,0.5,4,1,0.500000
pristine,0.02,8,0.75,6,1,0.750000
pristine,0.02,8,1,8,1,1.000000
pristine,0.02,16,0.03125,1,1,0.062500
pristine,0.02,16,0.0625,1,1,0.062500
pristine,0.02,16,0.125,2,1,0.125000
pristine,0.02,16,0.1875,3,1,0.187500
pristine,0.02,16,0.25,4,1,0.250000
pristine,0.02,16,0.375,6,1,0.375000
pristine,0.02,16,0.5,8,1,0.500000
pristine,0.02,16,0.75,12,1,0.750000
pristine,0.02,16,1,16,1,1.000000
pristine,0.02,32,0.03125,1,1,0.031250
pristine,0.02,32,0.0625,2,1,0.062500
pristine,0.02,32,0.125,4,1,0.125000
pristine,0.02,32,0.1875,6,1,0.187500
pristine,0.02,32,0.25,8,1,0.250000
pristine,0.02,32,0.375,12,1,0.375000
pristine,0.02,32,0.5,16,1,0.500000
pristine,0.02,32,0.75,24,1,0.750000
pristine,0.02,32,1,32,1,1.000000
pristine,0.02,64,0.03125,2,2,0.062004
pristine,0.02,64,0.0625,4,2,0.122024
pristine,0.02,64,0.125,8,2,0.236111
pristine,0.02,64,0.1875,12,2,0.342262
pristine,0.02,64,0.25,16,2,0.440476
pristine,0.02,64,0.375,24,2,0.613095
pristine,0.02,64,0.5,32,2,0.753968
pristine,0.02,64,0.75,48,2,0.940476
pristine,0.02,64,1,64,2,1.000000
mid,0.1,4,0.03125,1,1,0.250000
mid,0.1,4,0.0625,1,1,0.250000
mid,0.1,4,0.125,1,1,0.250000
mid,0.1,4,0.1875,1,1,0.250000
mid,0.1,4,0.25,1,1,0.250000
mid,0.1,4,0.375,2,1,0.500000
mid,0.1,4,0.5,2,1,0.500000
mid,0.1,4,0.75,3,1,0.750000
mid,0.1,4,1,4,1,1.000000
mid,0.1,8,0.03125,1,1,0.125000
mid,0.1,8,0.0625,1,1,0.125000
mid,0.1,8,0.125,1,1,0.125000
mid,0.1,8,0.1875,2,1,0.250000
mid,0.1,8,0.25,2,1,0.250000
