threshold,far,frr,false_accepts,attacks,false_rejects,honest
0.000226,1.000000,0.000000,48,48,0,12
0.000245,0.979167,0.000000,47,48,0,12
0.000299,0.958333,0.000000,46,48,0,12
0.000402,0.937500,0.000000,45,48,0,12
0.000730,0.916667,0.000000,44,48,0,12
0.000998,0.895833,0.000000,43,48,0,12
0.001024,0.875000,0.000000,42,48,0,12
0.001063,0.854167,0.000000,41,48,0,12
0.022392,0.833333,0.000000,40,48,0,12
0.044743,0.812500,0.000000,39,48,0,12
0.046866,0.791667,0.000000,38,48,0,12
0.048207,0.770833,0.000000,37,48,0,12
0.088409,0.750000,0.000000,36,48,0,12
0.131424,0.729167,0.000000,35,48,0,12
0.140320,0.708333,0.000000,34,48,0,12
0.149579,0.687500,0.000000,33,48,0,12
0.161575,0.666667,0.000000,32,48,0,12
0.174250,0.645833,0.000000,31,48,0,12
0.181822,0.625000,0.000000,30,48,0,12
0.189519,0.604167,0.000000,29,48,0,12
0.194397,0.583333,0.000000,28,48,0,12
0.197688,0.562500,0.000000,27,48,0,12
0.232220,0.541667,0.000000,26,48,0,12
0.300032,0.520833,0.000000,25,48,0,12
0.418319,0.500000,0.000000,24,48,0,12
0.519157,0.479167,0.000000,23,48,0,12
0.538780,0.458333,0.000000,22,48,0,12
0.620718,0.437500,0.000000,21,48,0,12
0.788384,0.416667,0.000000,20,48,0,12
0.879463,0.395833,0.000000,19,48,0,12
0.884580,0.375000,0.000000,18,48,0,12
0.886007,0.354167,0.000000,17,48,0,12
0.887180,0.333333,0.000000,16,48,0,12
0.888704,0.312500,0.000000,15,48,0,12
0.893731,0.291667,0.000000,14,48,0,12
0.899399,0.270833,0.000000,13,48,0,12
0.913021,0.250000,0.000000,12,48,0,12
0.927439,0.229167,0.000000,11,48,0,12
0.932767,0.208333,0.000000,10,48,0,12
0.937991,0.208333,0.083333,10,48,1,12
0.940840,0.187500,0.083333,9,48,1,12
0.944336,0.166667,0.083333,8,48,1,12
0.947589,0.145833,0.083333,7,48,1,12
0.948094,0.145833,0.166667,7,48,2,12
0.948256,0.125000,0.166667,6,48,2,12
0.948448,0.104167,0.166667,5,48,2,12
0.955457,0.083333,0.166667,4,48,2,12
0.962978,0.062500,0.166667,3,48,2,12
0.966288,0.062500,0.250000,3,48,3,12
0.971324,0.041667,0.250000,2,48,3,12
0.974060,0.020833,0.250000,1,48,3,12
0.976733,0.020833,0.333333,1,48,4,12
0.985270,0.000000,0.333333,0,48,4,12
0.992560,0.000000,0.416667,0,48,5,12
0.994415,0.000000,0.500000,0,48,6,12
0.995330,0.000000,0.583333,0,48,7,12
0.996850,0.000000,0.666667,0,48,8,12
0.998812,0.000000,0.750000,0,48,9,12
0.999477,0.000000,0.833333,0,48,10,12
0.999637,0.000000,0.916667,0,48,11,12
0.999690,0.000000,1.000000,0,48,12,12
